player,player_id,first_serve_pct,first_serve_win_pct,service_win_pct,second_serve_win_pct,first_return_win_pct,second_return_win_pct,rank,age,rank_change,cluster_rank,matches_played,cluster_age,climb_rate
Nicolas Kicker,kc29,0.6143242228105024,0.6892274568870873,0.6274109978534361,0.5297013025746358,0.30329685429340864,0.49079058249066265,96,25.0,22,265,36.0,0.04,0.6111111111111112
Malek Jaziri,j267,0.6108970998091994,0.7504064889417906,0.6551695770529062,0.5121512756879136,0.2787689743519749,0.43005098165664024,97,33.0,-46,263,40.0,0.030303030303030304,-1.15
Taro Daniel,da81,0.5996625003506779,0.7242200978097335,0.6505169040412837,0.5447252426161964,0.2925555881654158,0.47456600858818604,98,24.0,16,262,29.0,0.041666666666666664,0.5517241379310345
Nicolas Jarry,j551,0.6158162079391732,0.7373726033758212,0.649669008732229,0.5147792526050676,0.2769365471423184,0.4963443154251444,99,22.0,213,261,13.0,0.045454545454545456,16.384615384615383
Gerald Melzer,mi43,0.6020889202491229,0.7358230683934113,0.6439519918695675,0.5166732379930411,0.29291048693711996,0.48023243919806025,100,27.0,9,255,20.0,0.037037037037037035,0.45
Blaz Kavcic,k834,0.5728670664646274,0.6575831475287996,0.6067125140295871,0.5439545488036868,0.3242163482652613,0.4657100963552576,102,30.0,69,252,7.0,0.03333333333333333,9.857142857142858
Marcos Baghdatis,b837,0.6378703589868783,0.6554698998676814,0.6042332676523665,0.5204944022974755,0.21190982140889197,0.4387894629781841,103,32.0,-69,251,34.0,0.03125,-2.0294117647058822
Nicolas Mahut,m873,0.8017068273092369,0.7719298245614035,0.7590361445783133,0.7307692307692308,0.6400966183574879,0.25,104,35.0,-62,250,38.0,0.02857142857142857,-1.631578947368421
Taylor Fritz,fb98,0.6072491351803497,0.7409078353114862,0.6548837869813837,0.524126842051108,0.25579990732459135,0.4436855610973651,105,20.0,-7,248,35.0,0.05,-0.2
Janko Tipsarevic,t742,0.6478824812396538,0.5681102206502453,0.5395573940570677,0.5018587594709909,0.3084706443105489,0.5756114777926982,106,33.0,-1,246,19.0,0.030303030303030304,-0.05263157894736842
Andrey Kuznetsov,kb54,0.5871770458680707,0.7091838530625176,0.5381781730627415,0.3085675883256529,0.3000189354195171,0.46722184319745297,108,26.0,-53,243,43.0,0.038461538461538464,-1.2325581395348837
Vasek Pospisil,pd07,0.5699134199134199,0.6573202180960801,0.5784826284826285,0.46292075155541024,0.24618535586277523,0.34369217702551036,109,27.0,24,242,43.0,0.037037037037037035,0.5581395348837209
